county,code,count
1,1,59605
1,2,66173
1,3,63535
1,4,68148
1,5,61501
1,6,68907
1,7,77006
1,8,74468
1,9,74430
1,10,70834
1,11,74416
1,12,73816
1,13,67826
1,14,74180
1,15,77927
1,16,70880
1,17,76152
1,18,75084
2,1,74924
2,2,75366
2,3,71193
2,4,76052
3,1,68614
3,2,70528
3,3,65284
3,4,71379
3,5,68907
3,6,64964
4,1,68443
4,2,69650
4,3,68128
4,4,72664
5,1,73339
5,2,71877
5,3,72030
5,4,75324
5,5,74195
5,6,76467
5,7,74741
6,1,80974
6,2,84487
6,3,80292
6,4,77985
7,1,60915
7,2,68424
7,3,71587
7,4,66193
7,5,66851
8,1,65370
8,2,70872
8,3,65694
8,4,73555
8,5,74170
9,1,66609
9,2,72014
9,3,75785
9,4,67129
9,5,69040
9,6,69360
10,1,80189
10,2,76608
10,3,79465
11,1,77680
11,2,71104
11,3,75608
11,4,74043
12,1,79016
12,2,80712
12,3,81589
13,1,76438
13,2,78022
14,1,80577
14,2,87203
14,3,85287
14,4,71719
14,5,91122
14,6,85531
14,7,85943
14,8,86549
14,9,73762
14,10,75401
14,11,83643
14,12,73141
15,1,61206
15,2,59759
15,3,61189
15,4,62374
16,1,72056
16,2,70692
16,3,77533
16,4,73750
16,5,73484
16,6,71971
17,1,60233
17,2,59452
17,3,59680
18,1,67392
18,2,67774
18,3,65674
19,1,69905
19,2,70656
19,3,67314
19,4,68289
20,1,74491
20,2,71508
20,3,72467
