county,code,count
1,1,73914
1,2,76449
1,3,78431
1,4,80326
1,5,76968
1,6,78254
1,7,75379
1,8,79277
1,9,75105
1,10,77060
1,11,79524
1,12,78751
1,13,76565
1,14,77330
1,15,79322
1,16,83447
2,1,70739
2,2,74934
2,3,68656
2,4,73779
3,1,67906
3,2,71504
3,3,63227
3,4,70065
3,5,65594
3,6,62134
4,1,66019
4,2,66392
4,3,65263
4,4,68154
5,1,69135
5,2,68266
5,3,67593
5,4,71309
5,5,70017
5,6,73582
5,7,74213
6,1,81952
6,2,80113
6,3,77761
6,4,76377
7,1,69963
7,2,66228
7,3,69239
7,4,66729
7,5,65460
8,1,65652
8,2,73257
8,3,66633
8,4,75117
8,5,78547
9,1,65177
9,2,69491
9,3,77974
9,4,67072
9,5,68301
9,6,68093
10,1,79000
10,2,74007
10,3,78352
11,1,74779
11,2,69530
11,3,72187
11,4,71419
12,1,77401
12,2,80817
12,3,81088
13,1,71832
13,2,77051
14,1,79671
14,2,77871
14,3,81963
14,4,76341
14,5,75965
14,6,76890
14,7,76365
14,8,70426
14,9,76078
14,10,74474
14,11,74824
14,12,73911
14,13,70090
14,14,73447
15,1,59107
15,2,57032
15,3,60981
15,4,63489
16,1,71764
16,2,70921
16,3,75649
16,4,70013
16,5,70904
16,6,70408
17,1,57094
17,2,56292
17,3,56773
18,1,67196
18,2,66913
18,3,64940
19,1,68896
19,2,73585
19,3,65381
19,4,66523
20,1,72857
20,2,72849
20,3,69407
